# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1.4993, -0.135071, -0.0572669, 0, 4.98842, 0.0115906
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
1, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
0, 1, 0, 0, 0, 1, 0.00348362
# time, rho, u, v, w, p, T
